IsCanceled,LeadTime,Adults,Meal,DistributionChannel,IsRepeatedGuest,BookingChanges,DepositType,CustomerType,ADR,TotalOfSpecialRequests,Minors,Staying,CancelRate,WasInWaitingList,Season
0,342,2,BB       ,Direct,0,3,No Deposit     ,Transient,63.40,0,0,0,0.0,0,summer
0,737,2,BB       ,Direct,0,4,No Deposit     ,Transient,63.40,0,0,0,0.0,0,summer
0,7,1,BB       ,Direct,0,0,No Deposit     ,Transient,85.36,0,0,1,0.0,0,summer
0,13,1,BB       ,Corporate,0,0,No Deposit     ,Transient,112.61,0,0,1,0.0,0,summer
0,14,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer
0,14,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer
0,0,2,BB       ,Direct,0,0,No Deposit     ,Transient,63.40,0,0,2,0.0,0,summer
0,9,2,FB       ,Direct,0,0,No Deposit     ,Transient,63.40,1,0,2,0.0,0,summer
1,29,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,3,0.0,0,summer
1,5,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,3,0.0,0,summer
1,15,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,4,0.0,0,summer
0,35,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,4,0.0,0,summer
0,68,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,3,0,4,0.0,0,summer
0,18,2,HB       ,TA/TO,0,1,No Deposit     ,Transient,149.57,1,1,4,0.0,0,summer
0,37,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,4,0.0,0,summer
0,68,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,3,0,4,0.0,0,summer
0,37,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,4,0.0,0,summer
0,12,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,1,0.0,0,summer
0,0,2,BB       ,Corporate,0,0,No Deposit     ,Transient,112.61,0,0,1,0.0,0,summer
0,7,2,BB       ,Direct,0,0,No Deposit     ,Transient,135.33,1,0,4,0.0,0,summer
0,37,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,100.81,1,0,5,0.0,0,summer
0,72,2,BB       ,Direct,0,1,No Deposit     ,Transient,85.36,1,0,6,0.0,0,summer
