IsCanceled,LeadTime,StaysInWeekendNights,StaysInWeekNights,Adults,Meal,MarketSegment,DistributionChannel,IsRepeatedGuest,BookingChanges,DepositType,CustomerType,ADR,TotalOfSpecialRequests,Minors,CancelRate,WasInWaitingList,Season
0,342,0,0,2,BB       ,Direct,Direct,0,3,No Deposit     ,Transient,63.40,0,0,0.0,0,summer
0,737,0,0,2,BB       ,Direct,Direct,0,4,No Deposit     ,Transient,63.40,0,0,0.0,0,summer
0,7,0,1,1,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,85.36,0,0,0.0,0,summer
0,13,0,1,1,BB       ,Corporate,Corporate,0,0,No Deposit     ,Transient,112.61,0,0,0.0,0,summer
0,14,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,14,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,0,0,2,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,63.40,0,0,0.0,0,summer
0,9,0,2,2,FB       ,Direct,Direct,0,0,No Deposit     ,Transient,63.40,1,0,0.0,0,summer
1,29,0,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
1,5,0,3,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
1,15,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,0.0,0,summer
0,35,0,4,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
0,68,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,3,0,0.0,0,summer
0,18,0,4,2,HB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,149.57,1,1,0.0,0,summer
0,37,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,0.0,0,summer
0,68,0,4,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,3,0,0.0,0,summer
0,37,0,4,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,0.0,0,summer
0,12,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,0,0,1,2,BB       ,Corporate,Corporate,0,0,No Deposit     ,Transient,112.61,0,0,0.0,0,summer
0,7,0,4,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,135.33,1,0,0.0,0,summer
0,37,1,4,1,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,100.81,1,0,0.0,0,summer
0,72,2,4,2,BB       ,Direct,Direct,0,1,No Deposit     ,Transient,85.36,1,0,0.0,0,summer
0,72,2,4,2,BB       ,Direct,Direct,0,1,No Deposit     ,Transient,85.36,1,0,0.0,0,summer
0,72,2,4,2,BB       ,Direct,Direct,0,1,No Deposit     ,Transient,132.91,1,0,0.0,0,summer
0,127,2,5,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,95.71,1,0,0.0,0,summer
0,78,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
0,48,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,0.0,0,summer
1,9,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,2,0,0.0,0,summer
0,77,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,99,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,0.0,0,summer
0,118,4,10,1,BB       ,Direct,Direct,0,2,No Deposit     ,Transient,85.36,2,0,0.0,0,summer
0,95,4,11,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
1,63,2,8,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,118.61,2,0,0.0,0,summer
0,69,2,4,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
1,1,1,3,3,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,0.0,0,summer
1,27,1,3,3,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,0.0,0,summer
0,15,1,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,36,1,3,3,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,0.0,0,summer
1,3,1,3,3,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
0,70,2,3,2,HB       ,Direct,Direct,0,0,No Deposit     ,Transient,118.61,1,0,0.0,0,summer
1,0,2,3,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,149.57,0,0,0.0,0,summer
0,45,2,3,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,0.0,0,summer
0,16,2,3,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,128.33,0,0,0.0,0,summer
0,70,2,3,2,HB       ,Direct,Direct,0,0,No Deposit     ,Transient,118.61,1,0,0.0,0,summer
0,107,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
1,17,2,5,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,149.57,0,2,0.0,0,summer
0,96,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,113,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient-Party,123.01,2,0,0.0,0,summer
0,90,2,5,2,HB       ,Offline TA/TO,TA/TO,0,1,No Deposit     ,Contract,87.07,0,0,0.0,0,summer
0,50,2,5,2,HB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,123.01,1,0,0.0,0,summer
0,113,2,5,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient-Party,95.71,2,0,0.0,0,summer
0,93,3,8,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,0.0,0,summer
0,76,4,10,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,0.0,0,summer
0,3,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,1,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,157.67,0,0,0.0,0,summer
0,1,0,1,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,63.40,2,2,0.0,0,summer
0,0,0,1,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,73.50,0,0,0.0,0,summer
0,0,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
0,0,0,1,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,135.33,0,0,0.0,0,summer
0,14,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,10,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,149.57,0,0,0.0,0,summer
0,5,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,2,0,0.0,0,summer
0,17,0,3,2,BB       ,Direct,Direct,0,0,No Deposit     ,Transient,128.33,1,0,0.0,0,summer
0,93,0,3,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,0.0,0,summer
1,0,0,3,2,HB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
0,10,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,149.57,0,2,0.0,0,summer
0,3,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,51,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
1,54,0,2,3,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
1,48,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
1,62,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,0.0,0,summer
1,80,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,0.0,0,summer
0,2,0,2,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,15,0,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
1,27,0,2,3,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,3,1,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
1,10,1,2,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,0.0,0,summer
0,2,2,2,1,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,72,2,2,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,81,2,6,3,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,0.0,0,summer
0,99,2,7,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,0.0,0,summer
1,323,3,7,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,0.0,0,summer
0,364,3,7,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,0.0,0,summer
1,57,3,7,2,HB       ,Direct,Direct,0,2,No Deposit     ,Transient,85.36,1,0,0.0,0,summer
0,99,3,7,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,0.0,0,summer
0,324,4,10,2,HB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,0.0,0,summer
0,69,4,10,2,BB       ,Online TA,TA/TO,0,1,No Deposit     ,Transient,100.81,1,0,0.0,0,summer
1,0,6,15,2,BB       ,Offline TA/TO,TA/TO,0,0,No Deposit     ,Transient,87.07,2,1,0.0,0,summer
0,12,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,0.0,0,summer
0,9,0,1,2,BB       ,Online TA,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,0.0,0,summer
