IsCanceled,LeadTime,Adults,Meal,DistributionChannel,IsRepeatedGuest,BookingChanges,DepositType,CustomerType,ADR,TotalOfSpecialRequests,Minors,Staying,CancelRate,WasInWaitingList,Season,OriginalLeadTime
0,342,2,BB       ,Direct,0,3,No Deposit     ,Transient,63.40,0,0,0,0.0,0,summer,342
0,737,2,BB       ,Direct,0,4,No Deposit     ,Transient,63.40,0,0,0,0.0,0,summer,737
0,7,1,BB       ,Direct,0,0,No Deposit     ,Transient,85.36,0,0,1,0.0,0,summer,7
0,13,1,BB       ,Corporate,0,0,No Deposit     ,Transient,112.61,0,0,1,0.0,0,summer,13
0,14,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer,14
0,14,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer,14
0,0,2,BB       ,Direct,0,0,No Deposit     ,Transient,63.40,0,0,2,0.0,0,summer,0
0,9,2,FB       ,Direct,0,0,No Deposit     ,Transient,63.40,1,0,2,0.0,0,summer,9
1,29,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,3,0.0,0,summer,85
1,5,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,3,0.0,0,summer,75
1,15,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,4,0.0,0,summer,23
0,35,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,4,0.0,0,summer,35
0,68,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,3,0,4,0.0,0,summer,68
0,18,2,HB       ,TA/TO,0,1,No Deposit     ,Transient,149.57,1,1,4,0.0,0,summer,18
0,37,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,4,0.0,0,summer,37
0,68,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,3,0,4,0.0,0,summer,68
0,37,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,4,0.0,0,summer,37
0,12,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,1,0.0,0,summer,12
0,0,2,BB       ,Corporate,0,0,No Deposit     ,Transient,112.61,0,0,1,0.0,0,summer,0
0,7,2,BB       ,Direct,0,0,No Deposit     ,Transient,135.33,1,0,4,0.0,0,summer,7
0,37,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,100.81,1,0,5,0.0,0,summer,37
0,72,2,BB       ,Direct,0,1,No Deposit     ,Transient,85.36,1,0,6,0.0,0,summer,72
0,72,2,BB       ,Direct,0,1,No Deposit     ,Transient,85.36,1,0,6,0.0,0,summer,72
0,72,2,BB       ,Direct,0,1,No Deposit     ,Transient,132.91,1,0,6,0.0,0,summer,72
0,127,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,1,0,7,0.0,0,summer,127
0,78,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,7,0.0,0,summer,78
0,48,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,7,0.0,0,summer,48
1,9,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,2,0,7,0.0,0,summer,60
0,77,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,7,0.0,0,summer,77
0,99,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,7,0.0,0,summer,99
0,118,1,BB       ,Direct,0,2,No Deposit     ,Transient,85.36,2,0,14,0.0,0,summer,118
0,95,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,15,0.0,0,summer,95
1,63,2,BB       ,Direct,0,0,No Deposit     ,Transient,118.61,2,0,10,0.0,0,summer,96
0,69,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,6,0.0,0,summer,69
1,1,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,4,0.0,0,summer,45
1,27,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,4,0.0,0,summer,40
0,15,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,4,0.0,0,summer,15
0,36,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,4,0.0,0,summer,36
1,3,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,4,0.0,0,summer,43
0,70,2,HB       ,Direct,0,0,No Deposit     ,Transient,118.61,1,0,5,0.0,0,summer,70
1,0,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,0,5,0.0,0,summer,45
0,45,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,5,0.0,0,summer,45
0,16,2,BB       ,Direct,0,0,No Deposit     ,Transient,128.33,0,0,5,0.0,0,summer,16
0,70,2,HB       ,Direct,0,0,No Deposit     ,Transient,118.61,1,0,5,0.0,0,summer,70
0,107,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,7,0.0,0,summer,107
1,17,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,2,7,0.0,0,summer,47
0,96,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,7,0.0,0,summer,96
0,113,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,123.01,2,0,7,0.0,0,summer,113
0,90,2,HB       ,TA/TO,0,1,No Deposit     ,Contract,87.07,0,0,7,0.0,0,summer,90
0,50,2,HB       ,TA/TO,0,1,No Deposit     ,Transient,123.01,1,0,7,0.0,0,summer,50
0,113,2,BB       ,TA/TO,0,0,No Deposit     ,Transient-Party,95.71,2,0,7,0.0,0,summer,113
0,93,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,11,0.0,0,summer,93
0,76,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,95.71,0,0,14,0.0,0,summer,76
0,3,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,1,0.0,0,summer,3
0,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,157.67,0,0,1,0.0,0,summer,1
0,1,2,BB       ,Direct,0,0,No Deposit     ,Transient,63.40,2,2,1,0.0,0,summer,1
0,0,2,BB       ,Direct,0,0,No Deposit     ,Transient,73.50,0,0,1,0.0,0,summer,0
0,0,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,1,0.0,0,summer,0
0,0,2,BB       ,Direct,0,0,No Deposit     ,Transient,135.33,0,0,1,0.0,0,summer,0
0,14,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer,14
0,10,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,0,2,0.0,0,summer,10
0,5,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,2,0,2,0.0,0,summer,5
0,17,2,BB       ,Direct,0,0,No Deposit     ,Transient,128.33,1,0,3,0.0,0,summer,17
0,93,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,3,0.0,0,summer,93
1,0,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,3,0.0,0,summer,3
0,10,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,149.57,0,2,2,0.0,0,summer,10
0,3,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer,3
0,51,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,2,0.0,0,summer,51
1,54,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,2,0.0,0,summer,71
1,48,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,2,0.0,0,summer,63
1,62,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,1,0,2,0.0,0,summer,62
1,80,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer,101
0,2,2,HB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer,2
0,15,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer,15
1,27,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,2,0.0,0,summer,51
0,3,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,3,0.0,0,summer,3
1,10,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,3,0.0,0,summer,48
0,2,1,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,4,0.0,0,summer,2
0,72,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,4,0.0,0,summer,72
0,81,3,BB       ,TA/TO,0,0,No Deposit     ,Transient,95.71,0,0,8,0.0,0,summer,81
0,99,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,9,0.0,0,summer,99
1,323,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,10,0.0,0,summer,368
0,364,2,BB       ,TA/TO,0,0,No Deposit     ,Contract,87.07,0,0,10,0.0,0,summer,364
1,57,2,HB       ,Direct,0,2,No Deposit     ,Transient,85.36,1,0,10,0.0,0,summer,81
0,99,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,10,0.0,0,summer,99
0,324,2,HB       ,TA/TO,0,0,No Deposit     ,Contract,123.01,0,0,14,0.0,0,summer,324
0,69,2,BB       ,TA/TO,0,1,No Deposit     ,Transient,100.81,1,0,14,0.0,0,summer,69
1,0,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,1,21,0.0,0,summer,79
0,12,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,0,0,1,0.0,0,summer,12
0,9,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,1,0.0,0,summer,9
0,1,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,1,0.0,0,summer,1
0,21,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,123.01,0,0,1,0.0,0,summer,21
0,9,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,94.71,0,0,1,0.0,0,summer,9
0,109,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,2,0,1,0.0,0,summer,109
1,71,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer,109
1,68,2,BB       ,TA/TO,0,0,No Deposit     ,Transient,87.07,1,0,2,0.0,0,summer,72
